Bisaya Word,English Translation,Notes/Context
syampu,hair shampoo,n
syarpsyitir,1 sharpshooter,n
syatir,see syát,a
syawir,1 shower for bathing,n
syawir parti,shower for brides,n
syeding,shading of s,n
syintipiku,scientist,n
syudad,1 city,n
taal,"genuine, pure",a
tabanaw,"1 whore, prostitute",n
tabirnakulu,tabernacle,n
tabudyus,cylindrical,a
tabug,"1 = tablug, n",n
tabunuk,fertile,n
tabinun,brown-skinned,a
tabunus n,covered receptacle esp,a
tadluk,coconut seedling,n
tagalug,"Tagalog language, people",n
tagas,= tágak,v
tagiktik,"ticking, clicking",n
tagun,"patient, long-suffering",a
tahum,beautiful,a
tahup,chaff of cereals,n
takig,1 malaria,n
takigrapeya,"stenography, shorthand",n
takigrapu,stenographer,n
taktika,"1 strategy, tactics",n
taku,billiard cue,n
takumba,"1 lean-to, hut",n
takun,heel of shoes,n
takut,coral reefs,n
talab,pen shells,n
talabanug,see banug,n
talidhay,"loud, prolonged, high-pitched laughter",n
taligsuy,long and tapering,a
talenis,1 sharp-pointed,a
talintu,"talent, ability",n
talis,"maggots, larvae of housefly",n
taliyir,1 repair shop,n
taluktuk,"1 peg, stake",n
talumtum,1 mildew,n
talun,1 pad of paper,n
tamaraw,"tamaraw, a k",n
tamarindu,tamarind preserves,n
tambasakan,"mudskipper, a k",n
tambling,tumbling,n
tambukekuy,plump and chubby,a
tambiluk,the hackles of roosters,n
tambur,1 = tambul,n
tamburin,1 tambourine,n
tamhang,"carelessly inattentive, neglectful",a
taming,1 shield,n
tam-is,sweet,a
tampil,milled or pounded rice,n
tamsun,Thompson submachine gun,n
tamtaks,thumb tacks,n
tan,1 short for kapitan,n
tanaman,flower garden,n
tanduktanduk,top shells,n
tanga,1 scorpion,n
tanggu,tango,n
tangkag,sticking out of ears,a
tangkal,"cage, covered enclosure",n
tangkud,exactly to date,a
tangu,1 canine tooth,n
tanil,tunnel,n
tanlag,conscience,n
tanlak,one’s child,n
tansan,bottle cap,n
tansil,1 tonsils,n
taphaw,"1 shallow, not well-based",a
tapir wer,tupperware,n
tapeti,1 billiard table carpet,n
tapusuk,"wentletrap, k",n
targit,1 target,n
tarheta,"card, tag",n
taringtaring,flirt,a
tarepa,customs duties,n
tarugsuy,tapering to a point,a
tarung,"1 straight, not curved",a
tasasiyun,valuation,n
tating,"1 tatting, knotted lace",n
taub,high tide,a
tawhay,"1 orderly, well-arranged",a
tawu,"1 man, person",n
taydal wib,tidal wave,n
tayid,detergent,n
tayim,"1 time, o’clock",n
tayiprayting,typewriting paper,n
tayipraytir,typewriter,n
taypist,typist,n
taytay,1 mountain range,n
taytul,1 title,n
tayibung,starch made from cassava,n
tayun,1 row,n
tiad,with the back arched,a
tibud,small clay jar,n
tidyiwin,T-joint,n
tig-a,"hard, not soft",a
tigas,"1 tough, fearless",a
tighik,very skinny,a
tigib,chisel,n
tigkung,stooped and thin,a
tigri,tiger,n
tigsun,1 firm-fleshed,a
tihap,interest payable in kind,n
tihik,cheapskate,a
tiheras,canvas cot,n
teka,for s,a
tekit,ticket,n
tiknikal,1 technical,n
tikniku,technician,n
tiknikilur,technicolor movie,n
tiknisyan,technician,n
tiknuludyi,school course in technology,n
tikstu,text of the Bible,n
tikup,door or window shutter,n
tela,"cloth, textile",n
tilibisyun,television,n
tiligrama,telegram,n
tiligrapista,telegraph operator,n
tiligrapu,telegraph,n
tileis,"shrill, high-pitched voice",a
tilipunu,telephone,n
tiliskupyu,"1 telescope, binoculars",n
tilitayip,teletype machine,n
til-ug,food prepared esp,n
tilun,1 curtain on stage,n
tiluring,tailor shop,n
timbingan,general name for goatfishes,n
timpiramintu,temperament,n
timpiratira,temperature,n
timplit,registration plate of vehicles,n
timplu,temple,n
timpranu,1 early,a
timpu,"1 time, chance",n
timpuraryu,temporary,a
timsung,1 theme song,n
timtisyun,"temptation, k",n
timun,1 rudder,n
tim-us,"pure, sincere",a
timwurk,teamwork,n
tinday,adolescent female horse,n
tinggil,1 clitoris,n
tinggu,debt,n
tingkap,enamel-coated tin cup,n
tingting,1 = talingting,v
tiniblas,the Wednesday before Easter,n
tin-idyir,teen-ager,n
tenir,"thinner for paints, lacquers",n
tenis,1 tennis,n
tintu,red table wine,n
tintira,tincture of iodine,n
tinur,1 tenor voice,n
tinuryu n,Don Juan,a
tinyaplaba,1 = alap-ap,n
tinyinti,lieutenant in rank,n
tipanu,bamboo flute,n
tipmisyur,tape measure,n
tipug-uk,lumpy,a
tepus,typhus,n
tipuy,money,n
tiranti,1 high waistline,n
teras,lace used as trimming,n
tiratera,pull taffy,n
tiribli,1 horrible,a
tirituryu,territory,n
tirminu,"1 term, word",n
tirmumitru,thermometer,n
tirmus,thermos bottle,n
tirnu,1 man’s suit,n
tirsiya parti,one-third,n
tirsiyu,one-third,n
tirsiyupelu,velvet,n
tirurismu,terrorism,n
tesas,chalk,n
tisiku,one who has tuberculosis,n
tiskwir,T-square,n
tispepar,papers for a test,n
tistamintu,"testament, will",n
tistegus,witness in court,n
tistimunyu,testimony,n
tesu,erect in posture,a
tisurireya,treasury,n
tisureru,treasurer,n
titanus,tetanus,n
teti,breast,n
titulu,1 professional degree,n
titurun,tetoron cloth,n
tius-us,1 = daílus,v
tradisiyun,traditional customs,n
trahidiya,tragedy,n
trak,1 motor vehicle,n
trambeya,tramway,n
trampit,trumpet with pistons,n
trangkasu,influenza,n
transaksiyun,transaction,n
transistur,1 transistor,n
transkrip n,transcript of academic records,a
transmisyun,1 automotive transmission,n
transmetir,"1 radio, TV transmitter",n
transpurmir,electrical transformer,n
transpurtasiyun,"transportation, mode of travel",n
transpurti,"transport, troop ship",n
trapal,tarpaulin,n
trapik,1 traffic,n
traspurti,vessel used in transport,n
tratadu,treaty between states,n
tratu,sweetheart,n
trayanggul,1 triangle,n
traysikul,"tricycle, pedicab",n
trebu,tribe,n
tribunal,tribunal court of justice,n
tridayminsiyun,three-dimensional movie,n
tregu,wheat,n
trimistral,done every three months,n
trimistri,period of three months,n
trinseras,military trench,n
triplikadu,triplicate,n
triplit,triplets,n
tresir,tracer used in dressmaking,n
triling,trawling,n
trumbun,trombone,n
trinu,1 throne,n
tripa,1 troop of soldiers,n
tripi,trophy,n
trupiku,tropics,n
tsalit,small bungalow,n
tsampiyun,champion,n
tsampuy,= kyamuy,n
tsapa,1 badge,n
tsapirun,chaperon,n
tsaplin,chaplain,n
tsapstik,chopsticks,n
tsarlistun,Charleston dance,n
tsart,chart,n
tsarul,1 patent leather,n
tsatsa,cha-cha-cha,n
tseki,check,n
tsekird,checkered cloth,n
tsimaneya,"chimney or stack, esp",n
tsena,1 China,n
tsirman,chairman,n
tsismis,idle gossip,n
tsismisa,given to gossip,a
tsunggu,small monkey,n
tsupir,"driver, chauffeur",n
tualya,towel,n
tubas,off-season for fruit-bearing trees,n
tibig,1 water,n
tubu,sugar cane,n
tibu,1 tube,n
tubul,hard stools,n
tida,"1 fast, rapid",a
tudulukyeri,woman who is promiscuous,a
tudu pudirisu,All-Powerful,a
tuditut,= turútut,n
tugabung,artificial chignon,n
tugahuk,clitoris,n
tugas,"molave, k",n
tugbaw,"lofty, high up",a
tughaw,lukewarm,a
tugub,"full, having s",a
tikib,"detailed, complete, and well-described",a
tukig,stiff,a
tikis,"talkies, talking movies",n
tuku,prop stick or post,n
tulakhang,1 = kaling,n
tulawug,spring pole,n
tul-id,1 straight,a
tulitul,1 hemorrhoid,n
tuma pusisiyun,1 inauguration,n
tumatub,bag of waters,n
tumitusus,tomato sauce,n
tumur,tumor,n
tumuy,"1 tip, end, top",n
tinay,"1 real, genuine",a
tingul,1 stomach of animals,n
tuntu,"stupid, silly",a
tun-ug,"1 cold air, atmosphere",n
tunuk,1 thorn,n
tinuy,"fully ripe, well-ripened",a
tipas,topaz,n
tupiku,topic,n
turban,turban or similar headdress,n
tiri,1 tower,n
turil,corral for a herd,n
turista,tourist,n
turku,Indian or Pakistani,n
turpi,acting stupid,a
turpedu,torpedo,n
tuskig,"stiff, crisp",a
tisu,clever in deceiving others,a
tutbras,1 toothbrush,n
tutpik,1 toothpick,n
tuwaw,"1 = tuaw, 1",v
tuwittuwit,chirp of birds,n
tiya,freak,n
tiyu,soy sauce,n
twakdug,bamboo wall stud,n
twirka,screw,n
tyanggi,marketplace,n
tyatru,theater,n
tyubebu,merry-go-round,n
tyining purk,tuning fork,n
tyureya,theory,n
tyusupeya,theosophy,n
tyitur,tutor,n
iban,gray hair,n
ubaryu,ovary in women,n
ubaub,1 eyelid,n
ubaug,eye socket,n
ubispu,bishop,n
ublung,1 oblong in shape,a
ubsirbaturyu,observatory,n
ubu,cough,n
ubul-ibul,1 Adam’s apple,n
ubus,1 beneath,n
ubuub,"low-roofed house, building",a
udeyu,extreme unction,n
udiyung,"arrow, dart",n
ugang,mother hen,n
ugat,"vein, blood vessel",n
ugbun,"1 mound, esp",n
ugduk,1 stake,n
ugdul,"short, trimmed",a
ugsud,"1 stake, post",n
ugtuk,1 still,a
uhag,restlessly moving about,a
uhalis,buttonhole,n
ihas bulantis,leaflets,n
uhay,seed-bearing panicle,n
uksihinada,hydrogen peroxide,n
uktubri,October,n
ukupasiyun,1 occupation,n
ukyut,"1 tapered, tapering",a
ulahepan,centipede,n
ilay,"1 virgin, chaste",a
uldug,"puffed-up, heaped-up",a
ili,oil cloth,n
ilib,olive,n
ulimpiyan,tennis shoes,n
iling,charcoal,n
ulepun,1 slave,n
ulesi,"walking cane, staff",n
ulit,desiring s,a
ilu,1 head,n
imang,1 hermit crab,n
umaw,having lost its fertility,a
umintadu,having risen in amount,a
umpul,cut short,a
umug,"damp, moist",a
umuy,bodily strength,n
ina,"1 ahead, earlier",n
unas,dry banana leaf,n
unasis,very rich old man,a
unaw,cassava or buri flour,n
unay,1 mainland,n
ungas,bad scratch,n
ungguwintu,ointment,n
ungguy,monkey,n
unibirsidad,university,n
unkuwartu,one-fourth,n
unminitu,one minute,n
unsas,ounce,n
unud,1 flesh,n
unur,"one’s honor, reputation",n
unurabli,"honorable, decent",a
unurari,honorary title,n
unuraryu,honorarium,n
unus-inus,"done alternately, not together",a
unyas,1 plectrum,n
unyun,union or organization,n
ipak,bark of trees,n
ipas,banana leaf stalk,n
up bit,"off-beat, k",n
uphag,1 uninteresting,a
ipin,"1 open, frank",a
upiniyun,"opinion, judgment",n
upireta,operetta,n
upirturyu,offertory in the mass,n
upisena,1 office,n
upisyu,1 occupation,n
uptikal,optical store,n
uptiku,1 optometrist,n
upurtunista,opportunistic,a
upusisiyun,"1 opposition, resistance",n
uradur,orator,n
urakulu,"1 oracle, prophet",n
iras,1 hour,n
urden,religious order,n
urdinaryu,"ordinary, not especial",a
urgandi,organdy,n
urgansa,embossed cloth,n
urinila,chamber pot or bedpan,n
urkid,orchid,n
urkiyu,"1 honest-to-goodness, genuine",a
urlun,orlon,n
urtikarya,hives,n
urud,pregnant,a
uripa,Europe,n
isik,waste,a
usminya,"Sergio Osmeña, Sr",n
usira,usury,n
itan,vegetables,n
itin,penis,n
utingkag,1 = utingkad,v
utmil,oatmeal,n
uway,general name for rattans,n
uwedu,music played by ear,n
uyabang,fry of river shrimps,n
uyap,tiny salt-water shrimps,n
wahig,river,n
wait,1 lip,n
waklay,tall and thin,a
wali,1 sermon,n
walts,waltz music or dance,n
wan-an-ihap a,one-and-a-half storey house,a
wangkata,shape of one’s body,n
wangtigu,old man,n
wantid,1 needed for employment,n
wanwi,"1 one-way street, trip",n
wapir,wafer,n
ward,hospital ward,n
wardamids klem,war damage claim,n
warung,dishevelled,a
was-anwir,wash-and-wear,n
wasay,large axe,n
waswit,wife,n
watsung,1 homely looking,a
watisi,1 watusi dance,n
wawug,"1 bent, curved, warped",a
wayawaya,mosquito wrigglers,n
wayir,electrical wire,n
wayis,"1 sly, crafty",a
wayit guld,1 white gold,n
wayit sayidwul,1 white sidewall tires,n
waypir,windshield wiper,n
wayring,electrical wiring,n
wedir byiru,Weather Bureau,n
wegun,station wagon,n
wik-ind,week-end,n
wilga,strike,n
wiltsir,wheelchair,n
winsild,windshield,n
wintirgrin,oil of wintergreen,n
wiski,whisky,n
wislayin,waistline,n
wistirn,western movie,n
weting lis,waiting list,n
wetir,waiter,n
witris,waitress,n
wukatun,walking contest,n
wikir,men’s briefs,n
wukitiki,walkie-talkie,n
wulplawir,wallflower at a dance,n
wurding,lyrics to a song,n
yagawyaw,"general din, noise",n
yagkaw,lanky,a
yagubyub,"1 muttering, mumbling",n
yamar,1–5 = lyamar,v
yamhang,carelessly inattentive or neglectful,a
yamis,1 foreskin,n
yam-is,slightly sweet,a
yamug,1 dew,n
yanang,sloppy and wet,a
yanu,"1 simple, humble",a
yanyan,"sagging, drooping",a
yati,yacht,n
yeba,shout of jubilation,a
yebu,exclamation of joy,n
yirs-uld,"well-advanced in years, esp",a
yeru,"iron, steel",n
yist,yeast,n
yudipurmu,"iodoform, a medicinal powder",n
yidu,tincture of iodine,n
yuhum,1 = pahiyum,n
yika,yucca,n
yukaliptus,eucalyptus tree,n
yukaristika,Eucharist,n
yiki,ukelele,n
yukum,dimple,n
yungki,anvil,n
yunipurmi,"similar, identical in appearance",a
yusyus,loose,a
yutawhan,native land,n
yitik,"muddy, slushy",a
yiturn,1 U-turn,n
yiyu,1 yoyo,n
albumina,albumen,n
alis,wake of a boat,n
alpabit,the alphabet,n
amuretis,lovesickness,n
antititanus,anti-tetanus injection,n
apresir,appraiser,n
apsaydawun kik,upside-down cake,n
arbur di,Arbor Day,n
arsenik,arsenic,n
arsupu,word-play on arsubispu,n
bagnul,"1 dull, not sharp",a
balit prup,bullet proof,a
bluprint,blueprint,n
bugalu,bugaloo dance,n
bupalu,buffalo,n
bisa niba,"bossa nova song, dance",n
busting,"show off, braggart",a
butikin,small drugstore,n
butekul,1 pockmarks,n
dapul bag,duffel bag,n
datsun,dachshund,n
diprisyun,depression of atmospheric pressure,n
gangstir,gangster,n
gil iskawut,girl scout,n
gineya,guinea fowl,n
gis,gauze,n
habir sak,knapsack,n
halahala,"the halahala, a k",n
haleya,"jelly, jam",n
hantir,sharpshooter,a
hapsak,"hopsacking, a k",n
hidlayin,headlines of a newspaper,n
hulbut senaw,sexual intercourse,n
hulstir,holster,n
ilidyitimit,illegitimate child,n
impirmu,ill or wounded soldier,n
instraktur,school instructor,n
instrumintal,instrumental,n
intrabenus,intravenous feeding or injection,n
istenu,stenography,n
istritkat,straight cut pants,n
kasir,cashier,n
kidni,kidney ailment,n
kumpus pit,compost pit,n
lupug,1 weak and wobbly,a
mamaw,bogeyman,n
mandarin,Mandarin Chinese,n
nayitgawun,nightgown,n
palas,Palace of Justice,n
palsi walsi,be palsy walsy,a
panghalwan,barracuda,n
puspurit,match,n
raking tsir,rocking chair,n
rapid payir,doing things rapidly,a
ribili,reveille,n
rili,relay race,n
riluhireya,watch-repair shop,n
ringlit,ringlet curls of hair,n
riprap,riprap,n
repu,faucet,n
santunena,"santonin, a k",n
sayantipiku,scientist,n
sintins,sentence in a language,n
seu,1 the C,n
suy bins,soy beans,n
syurthan,shorthand,n
tabatsuy,obese,a
tipli,soprano voice,n
tirminisyun pe,termination pay,n
tusenu,salt pork,n
yema,candied yolk,n
